date,electricity,temperature
2023/4/1,274242254,25.3
2023/3/1,301379174,21.6
2023/2/1,323830492,18.9
2023/1/1,308871469,18
2022/12/1,293902444,18.6
2022/11/1,366977081,25.1
2022/10/1,447258363,26.5
2022/9/1,466789124,28.7
2022/8/1,447904025,29.4
2022/7/1,398831682,29.9
2022/6/1,327860194,29.2
2022/5/1,271989418,25.8
2022/4/1,284387803,24.6
2022/3/1,318198718,23
2022/2/1,303781882,17.4
2022/1/1,286014043,18.5
2021/12/1,330676800,19.3
2021/11/1,402305179,23.2
2021/10/1,438919997,27.3
2021/9/1,416834238,29.5
2021/8/1,413271070,28.4
2021/7/1,408190090,29.1
2021/6/1,374090968,28.3
2021/5/1,289693680,29
2021/4/1,291429938,24.6
2021/3/1,298967038,22.4
2021/2/1,287909256,19.7
2021/1/1,276795188,16.5
2020/12/1,285110029,20.1
2020/11/1,346963726,24.2
2020/10/1,405437294,26.8
2020/9/1,422762414,29.3
2020/8/1,443822753,28.8
2020/7/1,423850782,30.2
2020/6/1,360532790,30.1
2020/5/1,290415507,28.1
2020/4/1,273423119,23.4
2020/3/1,285045829,23.3
2020/2/1,284767095,20
2020/1/1,252814679,19
2019/12/1,288305599,19.8
2019/11/1,339469200,23.5
2019/10/1,379283233,27.1
2019/9/1,396172778,28.4
2019/8/1,384560473,28.7
2019/7/1,357858454,29.2
2019/6/1,327959291,29.3
2019/5/1,285249576,26.9
2019/4/1,260990860,26
2019/3/1,259582634,22.5
2019/2/1,258971782,22
2019/1/1,259323202,19.7
2018/12/1,276991416,21.6
2018/11/1,314319033,24.2
2018/10/1,355971530,25.8
2018/9/1,380688772,28.9
2018/8/1,389978024,27.8
2018/7/1,380965350,29.2
2018/6/1,341435622,29
2018/5/1,281335499,28.9
2018/4/1,278070188,25.6
2018/3/1,272476833,22.3
2018/2/1,258068383,17.5
2018/1/1,259292859,18.1
