date,electricity,percentage,temperature
Apr-23,331902841,0.3206,22.6
Mar-23,393766042,0.349,20
Feb-23,409379537,0.4067,17.5
Jan-23,411331757,0.3449,17
Dec-22,343386529,0.3157,16.6
Nov-22,447027336,0.3491,23.6
Oct-22,574270630,0.3948,24.2
Sep-22,697546339,0.4064,27.3
Aug-22,577847950,0.3682,30.6
Jul-22,497087589,0.3375,30.8
Jun-22,376948142,0.3117,28.1
May-22,342630235,0.3061,23.4
Apr-22,340813727,0.3277,22.5
Mar-22,421676141,0.3561,21.1
Feb-22,384018580,0.3774,16.4
Jan-22,376095933,0.3384,17.2
Dec-21,386895893,0.3412,18.3
Nov-21,539006246,0.3947,21.2
Oct-21,611087438,0.4046,25.7
Sep-21,656940979,0.408,29.5
Aug-21,631540380,0.4242,28.9
Jul-21,609381213,0.4155,30.3
Jun-21,470480803,0.3796,29.3
May-21,390590617,0.3183,28.2
Apr-21,366850355,0.3357,22.4
Mar-21,412836083,0.3529,20.3
Feb-21,390393905,0.3845,19.1
Jan-21,399211598,0.3561,16
Dec-20,332428173,0.3118,18.1
Nov-20,442744676,0.3509,23.3
Oct-20,564603228,0.3985,24.5
Sep-20,680800675,0.403,27.8
Aug-20,647375629,0.4027,30.2
Jul-20,616958564,0.3725,30.9
Jun-20,462474398,0.3423,30.5
May-20,398132374,0.3253,26.9
Apr-20,357907072,0.3424,20.9
Mar-20,395854023,0.3526,20.8
Feb-20,374776025,0.3568,18.7
Jan-20,350787555,0.3296,17.9
Dec-19,357165678,0.3251,19.1
Nov-19,445803367,0.3475,22
Oct-19,542987457,0.3737,25.3
Sep-19,664694423,0.3945,27.3
Aug-19,570733303,0.3589,30.5
Jul-19,496899546,0.3285,30.3
Jun-19,406626583,0.3096,28.5
May-19,383138279,0.3008,25
Apr-19,334554739,0.3021,24.2
Mar-19,353535732,0.3206,19.8
Feb-19,338095776,0.3392,18.8
Jan-19,358179967,0.3166,18.5
Dec-18,342560002,0.3034,19.5
Nov-18,424190360,0.332,22.7
Oct-18,518891350,0.3681,23.3
Sep-18,629975211,0.3801,28.2
Aug-18,586625078,0.3646,29.5
Jul-18,547191919,0.3456,30.3
Jun-18,424575580,0.3135,28.5
May-18,370032635,0.2872,28.2
Apr-18,362207742,0.3245,23.5
Mar-18,385705468,0.3383,20.6
Feb-18,345008917,0.3592,15.6
Jan-18,367603251,0.3288,16.9
